Period,Mark_Number,sex,Capture_Status,Team_combo
1,108,M,Mark,E
1,102,F,Mark,E
1,138,M,Mark,E
1,143,F,Mark,E
1,114,F,Mark,E
2,122,M,Mark,E
2,117,M,Mark,E
2,113,M,Mark,E
2,105,F,Mark,E
2,129,F,Mark,E
