Period,Mark_Number,sex,Capture_Status,Team_combo
1,115,F,Mark,CE
1,139,F,Mark,CE
1,128,M,Mark,CE
1,131,NA,Mark,CE
1,142,M,Mark,CE
2,136,F,Mark,CE
2,130,M,Mark,CE
2,128,M,Recap,CE
2,106,F,Mark,CE
2,100,M,Mark,CE
1,108,M,Mark,CE
1,102,F,Mark,CE
1,138,M,Mark,CE
1,143,F,Mark,CE
1,114,F,Mark,CE
2,122,M,Mark,CE
2,117,M,Mark,CE
2,113,M,Mark,CE
2,105,F,Mark,CE
2,129,F,Mark,CE
