Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,AC
1,121,M,Mark,AC
1,109,F,Mark,AC
1,112,M,Mark,AC
1,107,F,Mark,AC
2,105,F,Mark,AC
2,114,M,Mark,AC
2,108,M,Mark,AC
2,137,M,Mark,AC
2,138,F,Mark,AC
1,115,F,Mark,AC
1,139,F,Mark,AC
1,128,M,Mark,AC
1,131,NA,Mark,AC
2,136,F,Mark,AC
2,130,M,Mark,AC
2,128,M,Recap,AC
2,106,F,Mark,AC
2,100,M,Mark,AC
