Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,AE
1,121,M,Mark,AE
1,109,F,Mark,AE
1,112,M,Mark,AE
1,107,F,Mark,AE
2,105,F,Mark,AE
2,114,M,Recap,AE
2,108,M,Recap,AE
2,137,M,Mark,AE
2,138,F,Recap,AE
1,108,M,Mark,AE
1,102,F,Mark,AE
1,138,M,Mark,AE
1,143,F,Mark,AE
1,114,F,Mark,AE
2,122,M,Mark,AE
2,117,M,Mark,AE
2,113,M,Mark,AE
2,129,F,Mark,AE
