Period,Mark_Number,sex,Capture_Status,Team_combo
1,104,F,Mark,DE
1,143,F,Mark,DE
1,144,M,Mark,DE
1,137,F,Mark,DE
1,141,F,Mark,DE
2,131,F,Mark,DE
2,144,M,Recap,DE
2,139,F,Mark,DE
2,109,F,Mark,DE
2,110,F,Mark,DE
1,108,M,Mark,DE
1,102,F,Mark,DE
1,138,M,Mark,DE
1,114,F,Mark,DE
2,122,M,Mark,DE
2,117,M,Mark,DE
2,113,M,Mark,DE
2,105,F,Mark,DE
2,129,F,Mark,DE
