Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,A
1,121,M,Mark,A
1,109,F,Mark,A
1,112,M,Mark,A
1,107,F,Mark,A
2,105,F,Mark,A
2,114,M,Mark,A
2,108,M,Mark,A
2,137,M,Mark,A
2,138,F,Mark,A
