Period,Mark_Number,sex,Capture_Status,Team_combo
1,115,F,Mark,C
1,139,F,Mark,C
1,128,M,Mark,C
1,131,NA,Mark,C
1,142,M,Mark,C
2,136,F,Mark,C
2,130,M,Mark,C
2,128,M,Recap,C
2,106,F,Mark,C
2,100,M,Mark,C
